time_s,acceleration_m_s2,velocity_m_s,displacement_m
9.44,0.57228,0.041420000000000005,-0.011819999999999999
9.46,0.32881,0.050519999999999995,-0.01084
9.48,0.16807,0.05559,-0.009729999999999999
9.5,0.15401,0.058899999999999994,-0.008539999999999999
9.52,0.25067,0.06305,-0.00728
9.54,0.39097000000000004,0.06956000000000001,-0.0059099999999999995
9.56,0.32981,0.07686,-0.0044
9.58,-0.08083,0.07944,-0.0027800000000000004
9.6,-0.65998,0.07203999999999999,-0.00125
9.62,-0.94607,0.05606,8.999999999999999e-05
9.64,-0.7966200000000001,0.03872,0.00108
9.66,-0.41914,0.02665,0.00178
9.68,0.11167999999999999,0.02366,0.00231
9.7,0.58581,0.03072,0.0028899999999999998
9.72,1.26852,0.04935,0.0037199999999999998
9.74,1.9073900000000001,0.0812,0.00505
9.76,2.03609,0.12071,0.00711
9.78,1.6964599999999999,0.15813,0.00996
9.8,0.9991800000000001,0.18509,0.013420000000000001
9.82,0.41459,0.1993,0.01733
9.84,0.061689999999999995,0.20413,0.021429999999999998
9.86,0.01521,0.20498000000000002,0.02558
9.88,0.05331,0.20574,0.029740000000000003
9.9,0.08923,0.20723,0.03391
9.92,-0.18882000000000002,0.20631,0.03811
9.94,-1.54737,0.18902000000000002,0.04216
9.96,-2.8153699999999997,0.14547000000000002,0.045599999999999995
9.98,-3.3930700000000003,0.08346,0.04796
10.0,-3.32526,0.01628,0.04896
10.02,-2.44501,-0.04136,0.04873
10.04,-1.56721,-0.08141999999999999,0.04752
10.06,-0.79901,-0.10502,0.04569
10.08,-0.39388,-0.11689,0.04351
10.1,-0.36747,-0.12445,0.041139999999999996
10.12,-0.59302,-0.13399,0.03862
10.14,-0.85895,-0.14845,0.035859999999999996
10.16,-0.97921,-0.16677,0.03276
10.18,-0.9395600000000001,-0.1859,0.02928
10.2,-0.6762600000000001,-0.20204999999999998,0.0254
10.22,0.010029999999999999,-0.20867000000000002,0.021320000000000002
10.24,0.78267,-0.20068999999999998,0.01725
10.26,1.4810400000000001,-0.17800999999999997,0.01349
10.28,1.92056,-0.14395,0.01031
10.3,1.95981,-0.1051,0.00786
10.32,1.6198599999999999,-0.06924999999999999,0.00618
10.34,0.89302,-0.04408,0.00512
10.36,0.31694,-0.03193,0.00443
10.38,-0.02491,-0.02896,0.0038900000000000002
10.4,-0.19254000000000002,-0.03113,0.00329
10.42,-0.30218,-0.03605,0.00267
10.44,-0.31370000000000003,-0.04218,0.00194
10.46,-0.30888000000000004,-0.048369999999999996,0.00108
10.48,-0.1773,-0.053200000000000004,0.0001
10.5,-0.04962,-0.05543,-0.00094
10.52,-0.16625,-0.05756,-0.00202
10.54,-0.45156999999999997,-0.06371,-0.00317
10.56,-0.62914,-0.07448,-0.0045000000000000005
10.58,-0.6214200000000001,-0.08696,-0.00607
10.6,-0.29528,-0.09612,-0.00791
10.62,0.28508,-0.0962,-0.00981
10.64,0.72319,-0.0861,-0.01161
10.66,0.93759,-0.06948,-0.01313
10.68,0.7822499999999999,-0.05226,-0.0143
10.7,0.38098,-0.04061,-0.01517
10.72,-0.07980999999999999,-0.03758,-0.0159
10.74,-0.44270000000000004,-0.04279,-0.01665
10.76,-0.53818,-0.05258,-0.01756
10.78,-0.36556,-0.0616,-0.01866
10.8,-0.14766,-0.06672,-0.019950000000000002
10.82,0.040979999999999996,-0.06777999999999999,-0.021269999999999997
10.84,0.16367,-0.06573000000000001,-0.02257
10.86,0.1435,-0.06266,-0.02382
10.88,0.12292,-0.059989999999999995,-0.025009999999999998
10.9,0.17687,-0.05698,-0.026150000000000003
10.92,0.36571,-0.051550000000000006,-0.027200000000000002
10.94,0.51551,-0.04274,-0.02812
10.96,0.51598,-0.03242,-0.02883
10.98,0.36232,-0.023629999999999998,-0.02935
11.0,0.19402999999999998,-0.01806,-0.029759999999999998
11.02,0.22254000000000002,-0.0139,-0.030059999999999996
11.04,0.47033,-0.006979999999999999,-0.03025
11.06,0.9157500000000001,0.00687,-0.03023
11.08,1.31903,0.02921,-0.02986
11.1,1.3860400000000002,0.056260000000000004,-0.028980000000000002
11.12,1.14431,0.08155,-0.027559999999999998
11.14,0.7910699999999999,0.1009,-0.025699999999999997
11.16,0.43127000000000004,0.11312,-0.02352
11.18,0.22854,0.11971,-0.02116
11.2,0.18628,0.12386,-0.01872
11.22,0.21181,0.12782,-0.01618
11.24,0.32504,0.13318,-0.013560000000000001
11.26,0.46799,0.14109,-0.0108
11.28,0.42139000000000004,0.14996,-0.00787
11.3,0.10323,0.15519,-0.00479
11.32,-0.3651,0.15256,-0.00167
11.34,-0.9555,0.13933,0.00128
11.36,-1.6340899999999998,0.11342,0.00386
11.38,-2.03477,0.07672,0.00579
11.4,-1.9455500000000001,0.03692,0.006919999999999999
11.42,-1.45079,0.00293,0.00732
11.44,-0.8490800000000001,-0.020099999999999996,0.00714
11.46,-0.45771,-0.03319,0.0066
11.48,-0.41981,-0.04199,0.00586
11.5,-0.55444,-0.05176,0.00494
11.52,-0.70855,-0.06442,0.0038
11.54,-0.7873,-0.0794,0.0023699999999999997
11.56,-0.66223,-0.09391999999999999,0.00064
11.58,-0.4459,-0.10503,-0.00134
11.6,-0.27325,-0.11221,-0.0035199999999999997
11.62,-0.13736,-0.11635,-0.005809999999999999
11.64,0.0753,-0.11699999999999999,-0.00814
11.66,0.34845,-0.1128,-0.01044
11.68,0.53933,-0.10395,-0.01262
11.7,0.56851,-0.0929,-0.01458
11.72,0.5159,-0.08209,-0.01633
