time_s,acceleration_m_s2,velocity_m_s,displacement_m
4.68,-1.18584,0.69282,-0.07857
4.7,-2.66347,0.6542,-0.06498999999999999
4.72,-2.41439,0.60329,-0.05236
4.74,-1.82076,0.56081,-0.040679999999999994
4.76,-1.25904,0.52989,-0.029740000000000003
4.78,-0.97784,0.50739,-0.01932
4.8,-1.82721,0.47934,-0.00942
4.82,-2.63719,0.43453,-0.0002
4.84,-2.89622,0.37903,0.008
4.86,-2.59835,0.32392000000000004,0.015069999999999998
4.88,-2.33809,0.27439,0.021099999999999997
4.9,-1.9850899999999998,0.231,0.0262
4.92,-1.59523,0.19503,0.0305
4.94,-1.2578799999999999,0.16632999999999998,0.03415
4.96,-0.42656,0.14932,0.03734
4.98,0.8409300000000001,0.1533,0.04038
5.0,1.71619,0.17887,0.04367
5.02,2.20801,0.21792,0.047670000000000004
5.04,2.13898,0.2612,0.05251
5.06,1.66076,0.299,0.05817
5.08,0.8445699999999999,0.32386000000000004,0.06447
5.1,0.04131,0.33253,0.07110999999999999
5.12,-0.74274,0.32531999999999994,0.07776
5.14,-1.8608699999999998,0.29908999999999997,0.08409000000000001
5.16,-2.9106,0.25117999999999996,0.08968
5.18,-2.9863600000000003,0.19202000000000002,0.09416000000000001
5.2,-2.94815,0.13268000000000002,0.0974
5.22,-2.56807,0.07731,0.09953
5.24,-1.56707,0.035750000000000004,0.10066000000000001
5.26,-1.13136,0.00855,0.10113
5.28,-0.93324,-0.0123,0.10112
5.3,-0.79435,-0.02979,0.10073
5.32,-0.7801,-0.045739999999999996,0.10000999999999999
5.34,-0.52912,-0.059050000000000005,0.09899
5.36,0.89129,-0.05563,0.09783
5.38,2.43456,-0.02259,0.09702999999999999
5.4,3.68725,0.03864,0.09715
5.42,4.40699,0.11936,0.09873
5.44,3.96586,0.20288,0.10199
5.46,3.18543,0.27417,0.10680999999999999
5.48,1.8518199999999998,0.32433,0.11287000000000001
5.5,0.44384,0.34707,0.11964999999999999
5.52,-0.70313,0.34426,0.12662
5.54,-1.56143,0.3214,0.13333
5.56,-4.40596,0.26151,0.13928000000000001
5.58,-5.750839999999999,0.15972,0.14356
5.6,-6.031960000000001,0.04190000000000001,0.14559
5.62,-5.47535,-0.07339000000000001,0.14526
5.64,-2.98747,-0.15823,0.14287
5.66,-1.5149199999999998,-0.20346,0.13921
5.68,-1.06755,-0.22949999999999998,0.13487
5.7,-1.23948,-0.25278,0.13007
