time (s),acceleration (m/s^2),velocity (m/s),displacement (m)
5.3,0.29466,-0.0599,0.00912
5.32,0.11491,-0.0557,0.72692
5.34,-0.33423,-0.05778,1.39555
5.36,-0.45178,-0.06552,1.24542
5.38,-1.14798,-0.08141,0.66869
5.4,-1.8935,-0.11182,-0.08896
5.42,-1.86471,-0.1493,-0.69703
5.44,-1.18685,-0.17971,-0.9873
5.46,-0.34993,-0.19498,-0.48264
5.48,-0.08955,-0.19927,-0.16215
5.5,0.74386,-0.19262,-0.82062
5.52,1.37883,-0.17129,-0.84712
5.54,1.37953,-0.1436,0.6615
5.56,1.48051,-0.1149,1.18819
5.58,1.44379,-0.08555,1.76823
5.6,1.03028,-0.06081,1.50059
5.62,0.43674,-0.04604,0.22625
5.64,-0.3039,-0.04462,0.0075
5.66,-0.85537,-0.05612,-0.9745
5.68,-0.37854,-0.06837,-1.7579
5.7,-0.03898,-0.07245,-1.566
5.72,-0.01372,-0.07289,-1.07611
5.74,-0.05423,-0.07347,0.13854
5.76,0.02137,-0.07371,0.52701
5.78,1.19791,-0.06142,0.13772
5.8,2.64223,-0.02302,0.34119
5.82,1.44984,0.01798,1.47322
5.84,0.10563,0.03361,2.78112
5.86,0.44498,0.03919,1.79478
5.88,0.01937,0.04391,0.31985
5.9,-0.51556,0.03903,-0.53142
5.92,-0.88348,0.02512,-1.76575
5.94,-1.13862,0.00498,-1.19121
5.96,-1.12699,-0.0176,-0.60927
5.98,-0.08485,-0.02964,-1.03761
6,1.33096,-0.01718,0.19523
6.02,1.59054,0.01209,-0.28794
6.04,1.61148,0.04417,-1.37679
6.06,1.98632,0.08021,0.04217
6.08,1.86962,0.11883,0.55609
6.1,0.89104,0.1465,-0.11507
6.12,0.44282,0.1599,0.82246
6.14,0.36344,0.16802,0.94196
6.16,-0.40028,0.16771,-1.64488
6.18,-1.23877,0.15138,-2.15256
6.2,-1.1018,0.12798,-0.44646
6.22,-0.79511,0.10905,0.02502
6.24,-0.69288,0.09421,-0.1149
6.26,-0.01835,0.08714,0.37003
6.28,0.95113,0.09651,-1.02856
6.3,0.97971,0.11585,-1.56162
6.32,0.40999,0.12979,0.28159
6.34,0.5597,0.13953,1.22275
6.36,0.34869,0.14866,1.49745
6.38,-0.35544,0.14863,1.03769
6.4,-0.6082,0.13899,-0.34278
6.42,-0.36418,0.12929,-0.46214
6.44,-0.51426,0.12052,0.64972
6.46,-0.99645,0.10543,0.91998
6.48,-1.06674,0.08482,0.88734
6.5,-0.3751,0.07042,0.32334
6.52,0.19068,0.0686,0.34103
6.54,-0.08965,0.06963,0.20649
6.56,-0.4863,0.06389,-1.03474
6.58,-0.54013,0.05364,-1.31585
6.6,-0.72624,0.04098,-0.55666
6.62,-1.10529,0.02266,-0.64331
6.64,-1.16112,0,-0.73469
6.66,-1.11951,-0.02281,0.37653
6.68,-1.00103,-0.04402,0.68841
6.7,-0.49302,-0.05896,0.28632
6.72,0.54788,-0.05841,1.04676
6.74,1.29996,-0.03993,1.1583
6.76,1.57564,-0.01118,1.07707
6.78,1.2097,0.01667,0.76771
6.8,0.51865,0.03395,-0.12807
6.82,-0.04716,0.03865,-1.14932
6.84,-0.11799,0.03698,-0.65063
6.86,0.0492,0.03627,0.93812
6.88,0.11164,0.03785,-0.37777
6.9,0.64622,0.04541,-1.37924
6.92,0.84041,0.06026,-0.87587
6.94,0.39325,0.07257,-0.54061
6.96,0.21548,0.07864,-0.84466
6.98,0.48593,0.08563,-0.84678
7,0.35057,0.094,-1.14663
7.02,-0.00572,0.09741,-0.08642
7.04,-0.42112,0.0931,0.87251
7.06,-0.94083,0.07944,0.63502
7.08,-1.27289,0.05727,1.63418
7.1,-0.91022,0.03539,1.43773
7.12,-0.638,0.01987,0.98956
7.14,-0.51754,0.00828,0.94894
7.16,-0.04782,0.00259,-0.26035
7.18,0.02779,0.00235,-0.73786
7.2,0.08451,0.00347,-0.02039
7.22,0.60076,0.01027,-0.77542
7.24,0.83541,0.02458,-1.33936
7.26,0.01972,0.03307,-0.68524
7.28,-0.74324,0.02578,-0.24741
7.3,-1.0077,0.00822,0.57379
7.32,-1.19455,-0.01386,1.07985
7.34,-1.41382,-0.04,0.43592
7.36,-1.46703,-0.06886,-0.18518
7.38,-1.19589,-0.09554,0.2627
7.4,-0.90452,-0.11655,1.14942
7.42,-0.59027,-0.13156,1.65529
7.44,-0.07763,-0.13831,1.31557
7.46,0.41878,-0.13497,0.85958
7.48,0.44541,-0.12639,1.622
7.5,0.64202,-0.11559,2.01535
7.52,1.22863,-0.09695,1.76619
7.54,1.29251,-0.07181,1.27635
7.56,0.72743,-0.05167,0.16092
7.58,-0.24419,-0.04691,-0.6696
7.6,-1.16597,-0.06101,-0.54382
7.62,-1.31335,-0.08589,-0.31435
7.64,-0.46308,-0.10373,-0.65308
7.66,0.50336,-0.1034,-0.53896
7.68,0.83094,-0.09014,0.06824
7.7,0.5467,-0.07644,0.06145
7.72,0.01953,-0.07086,-0.56246
7.74,-0.29722,-0.07372,-1.1915
7.76,-0.11036,-0.07787,-1.21653
7.78,0.54094,-0.07364,-0.30434
7.8,0.94792,-0.05876,0.58832
7.82,0.93733,-0.03999,0.16173
7.84,0.40713,-0.02663,-0.80574
7.86,-0.30923,-0.02574,-0.90354
7.88,-0.46352,-0.03355,-0.39925
7.9,0.02518,-0.03803,-0.32286
7.92,0.28504,-0.03501,-0.69062
7.94,-0.03827,-0.03263,-1.40307
7.96,-0.31732,-0.03627,-1.85638
7.98,-0.15982,-0.04113,-2.05809
8,0.03899,-0.04234,-2.23725
8.02,0.17552,-0.04029,-1.99205
8.04,0.26444,-0.03598,-0.58615
8.06,0.2508,-0.03092,1.01705
8.08,0.19127,-0.02659,1.213
8.1,-0.1675,-0.02644,0.89852
8.12,-0.59337,-0.03414,0.29261
8.14,-0.51051,-0.04527,-0.49584
8.16,-0.30168,-0.05349,-0.87669
8.18,-0.49599,-0.06155,-0.56919
8.2,-0.74564,-0.07397,-0.72399
8.22,-0.69792,-0.0885,-0.00398
8.24,-0.524,-0.10081,1.03007
8.26,-0.3233,-0.10938,0.57376
8.28,-0.22336,-0.11494,1.07036
8.3,-0.23483,-0.11961,1.67598
8.32,-0.05021,-0.12255,1.80118
8.34,0.33503,-0.1198,0.91381
8.36,0.78829,-0.10866,0.19408
8.38,1.10514,-0.08982,0.01718
8.4,0.89325,-0.06984,0.27778
8.42,0.34447,-0.05755,0.45374
8.44,0.08154,-0.05338,-0.49958
8.46,0.2687,-0.04997,-1.03291
8.48,0.43945,-0.04298,-1.13198
8.5,0.34082,-0.03526,-1.28187
8.52,0.24128,-0.02953,-1.15278
8.54,0.12958,-0.02592,-0.73176
8.56,0.01012,-0.02461,-0.24307
8.58,0.10918,-0.02351,-0.37906
8.6,0.22603,-0.02016,-0.34468
8.62,0.45856,-0.01339,0.32351
8.64,0.70607,-0.00183,-0.2429
8.66,0.79247,0.01307,0.35834
8.68,0.88829,0.02979,2.31118
8.7,0.80693,0.04666,3.23052
8.72,0.52713,0.05991,3.24345
8.74,0.32772,0.06838,3.03479
8.76,0.36836,0.07525,2.57551
8.78,0.36322,0.08248,1.39146
8.8,0.24959,0.08861,-0.37055
8.82,0.15755,0.09261,-1.39499
8.84,-0.04983,0.09361,-1.8778
8.86,-0.24947,0.09054,-2.23719
8.88,-0.22796,0.08569,-2.19836
8.9,-0.19569,0.08138,-2.16722
8.92,-0.1414,0.07793,-0.80753
8.94,-0.26113,0.07383,0.70041
8.96,-0.56499,0.0655,1.02045
8.98,-0.61798,0.05359,1.25603
9,-0.40369,0.04337,2.38813
9.02,-0.44848,0.03479,3.12982
9.04,-0.71868,0.02305,1.91036
9.06,-0.74739,0.00833,0.04078
9.08,-0.412,-0.00333,-0.85592
9.1,-0.0212,-0.00772,-1.40215
9.12,0.08232,-0.00718,-1.88954
9.14,0.19274,-0.00449,-1.80749
9.16,0.22085,-0.00042,-1.90502
9.18,-0.13315,0.0004,-2.33553
9.2,-0.23256,-0.00326,-2.60418
9.22,0.11556,-0.00448,-2.24334
9.24,0.33394,-4.00E-05,-1.07209
9.26,0.4255,0.00751,0.0901
9.28,0.31208,0.01484,0.4932
9.3,-0.14188,0.01649,0.72432
9.32,-0.08344,0.01418,0.96081
9.34,0.51322,0.01843,0.79662
9.36,0.58069,0.02932,0.33947
9.38,0.54874,0.04057,0.44114
9.4,0.74224,0.05348,0.34621
9.42,0.78999,0.06876,-0.04372
9.44,0.77191,0.08435,-0.54607
9.46,0.7186,0.09922,-0.85237
9.48,0.30542,0.10943,0.1103
9.5,-0.22351,0.11021,0.09429
9.52,-0.35473,0.10439,-1.07471
9.54,-0.2777,0.09804,-1.07819
9.56,-0.10477,0.09418,-1.16465
9.58,0.02346,0.09333,-2.03641
9.6,-0.07762,0.09279,-0.70964
9.62,-0.10123,0.09098,1.18161
9.64,0.28739,0.09282,1.58321
9.66,0.67269,0.10241,1.78067
9.68,0.71317,0.11625,0.91951
9.7,0.48431,0.1282,0.29466
9.72,-0.03461,0.13268,0.11491
9.74,-0.46238,0.12769,-0.33423
9.76,-0.48062,0.11824,-0.45178
9.78,-0.37856,0.10963,-1.14798
9.8,-0.40406,0.10181,-1.8935
9.82,-0.52361,0.09253,-1.86471
9.84,-0.44245,0.08286,-1.18685
9.86,-0.11033,0.07733,-0.34993
9.88,0.19499,0.07818,-0.08955
9.9,0.17992,0.08192,0.74386
9.92,-0.09685,0.08275,1.37883
9.94,-0.33344,0.07845,1.37953
9.96,-0.41641,0.07095,1.48051
9.98,-0.33153,0.06346,1.44379
10,-0.43467,0.0558,1.03028
10.02,-0.71267,0.04434,0.43674
10.04,-0.61075,0.03112,-0.3039
10.06,-0.28983,0.02213,-0.85537
10.08,-0.25679,0.01667,-0.37854
10.1,-0.16868,0.01243,-0.03898
10.12,-0.00228,0.01073,-0.01372
10.14,-0.12481,0.00948,-0.05423
10.16,-0.2239,0.006,0.02137
10.18,-0.11883,0.00259,1.19791
10.2,-0.09829,0.00041,2.64223
10.22,-0.07558,-0.0013,1.44984
10.24,0.04089,-0.00162,0.10563
10.26,-0.22291,-0.00341,0.44498
10.28,-0.52487,-0.01086,0.01937
10.3,-0.48418,-0.02092,-0.51556
10.32,-0.49171,-0.03066,-0.88348
10.34,-0.55734,-0.04112,-1.13862
10.36,-0.49944,-0.05166,-1.12699
10.38,-0.39593,-0.06058,-0.08485
10.4,-0.40892,-0.06864,1.33096
10.42,-0.2718,-0.0754,1.59054
10.44,-0.04298,-0.07851,1.61148
10.46,0.0014,-0.07889,1.98632
10.48,-0.1167,-0.08,1.86962
10.5,-0.0999,-0.08212,0.89104
10.52,0.00588,-0.08302,0.44282
10.54,-0.0853,-0.08378,0.36344
10.56,-0.04876,-0.08508,-0.40028
10.58,0.03953,-0.08513,-1.23877
10.6,-0.08548,-0.08559,-1.1018
10.62,-0.03935,-0.08679,-0.79511
10.64,0.2714,-0.08442,-0.69288
10.66,0.35356,-0.07812,-0.01835
10.68,0.36041,-0.07093,0.95113
10.7,0.59275,-0.06134,0.97971
10.72,0.79053,-0.04746,0.40999
10.74,0.79343,-0.03157,0.5597
10.76,0.72069,-0.01638,0.34869
10.78,0.66825,-0.00244,-0.35544
10.8,0.43459,0.00859,-0.6082
10.82,0.15412,0.01454,-0.36418
10.84,0.08101,0.01695,-0.51426
10.86,0.03243,0.01814,-0.99645
10.88,-0.05322,0.01799,-1.06674
10.9,-0.04122,0.01711,-0.3751
10.92,0.06411,0.0174,0.19068
10.94,-0.02635,0.01783,-0.08965
10.96,-0.30619,0.01457,-0.4863
10.98,-0.43275,0.00724,-0.54013
11,-0.4745,-0.00184,-0.72624
11.02,-0.47472,-0.01126,-1.10529
11.04,-0.3462,-0.01941,-1.16112
11.06,-0.25577,-0.02536,-1.11951
11.08,-0.26069,-0.03046,-1.00103
11.1,-0.29908,-0.03599,-0.49302
11.12,-0.23632,-0.04128,0.54788
11.14,-0.14219,-0.045,1.29996
11.16,-0.09069,-0.04726,1.57564
11.18,-0.03339,-0.04844,1.2097
11.2,-0.20937,-0.05087,0.51865
11.22,-0.3998,-0.05689,-0.04716
11.24,-0.29318,-0.06375,-0.11799
11.26,-0.26784,-0.06929,0.0492
11.28,-0.45929,-0.07649,0.11164
11.3,-0.55672,-0.08659,0.64622
11.32,-0.29738,-0.09506,0.84041
11.34,0.11717,-0.09679,0.39325
11.36,0.41254,-0.09143,0.21548
11.38,0.50992,-0.08213,0.48593
11.4,0.46301,-0.0724,0.35057
11.42,0.44741,-0.06323,-0.00572
11.44,0.39366,-0.05475,-0.42112
11.46,0.26938,-0.04805,-0.94083
11.48,0.31242,-0.04216,-1.27289
11.5,0.52599,-0.03371,-0.91022
11.52,0.46404,-0.02374,-0.638
11.54,0.17576,-0.01727,-0.51754
11.56,0.22742,-0.01317,-0.04782
11.58,0.46495,-0.00618,0.02779
11.6,0.46449,0.00312,0.08451
11.62,0.28257,0.01066,0.60076
11.64,0.09366,0.01449,0.83541
11.66,0.07054,0.0162,0.01972
11.68,0.09922,0.01796,-0.74324
11.7,0.05722,0.01959,-1.0077
11.72,0.05128,0.02075,-1.19455
11.74,-0.10249,0.0203,-1.41382
11.76,-0.27237,0.01662,-1.46703
11.78,-0.10042,0.01296,-1.19589
11.8,0.08168,0.01278,-0.90452
11.82,0.01072,0.01377,-0.59027
11.84,-0.06565,0.01328,-0.07763
11.86,-0.14885,0.0112,0.41878
11.88,-0.28195,0.00696,0.44541
11.9,-0.2689,0.00151,0.64202
11.92,-0.16811,-0.00279,1.22863
11.94,-0.06997,-0.00511,1.29251
11.96,0.00866,-0.00566,0.72743
11.98,0.12271,-0.00428,-0.24419
12,0.13438,-0.00171,-1.16597
12.02,0.09487,0.00064,-1.31335
12.04,0.10073,0.00265,-0.46308
12.06,0.05465,0.00427,0.50336
12.08,0.08592,0.00573,0.83094
12.1,0.24141,0.00906,0.5467
12.12,0.34218,0.01495,0.01953
12.14,0.29842,0.02142,-0.29722
12.16,0.12735,0.02574,-0.11036
12.18,-0.04689,0.0266,0.54094
12.2,0.04474,0.02658,0.94792
12.22,0.19993,0.02907,0.93733
12.24,0.10993,0.03222,0.40713
12.26,-0.12868,0.03208,-0.30923
12.28,-0.24979,0.02835,-0.46352
12.3,-0.35131,0.02239,0.02518
12.32,-0.44319,0.01449,0.28504
